,[CCT LSU SUPERMIC] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[PSC BRIDGES LARGE] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job
2015-12-28,10.95755762,5.83205889,1.30863252,0.0,,,3.70850333,3.61725429,7.73178227,,0.0,4.57823022,5.03726103
2015-12-29,11.73402963,5.96201689,0.51014141,0.0,,,6.48799167,1.74662772,9.44010108,,0.0,7.02141392,4.73448229
2015-12-30,11.50262713,5.19281571,1.26835786,0.0,,,9.516536,2.20234513,9.20427256,,0.0,6.2965197,4.91054815
2015-12-31,15.55775441,6.61323834,1.47113299,0.0,,,11.4351087,7.82386836,10.21585166,,0.0,4.97507288,3.32515353
2016-01-01,5.97954512,4.2332206,1.42386461,0.0,,,8.05099048,8.70180728,10.80217969,,0.0,5.47188219,1.38565074
2016-01-02,4.21721667,5.5627125,1.57249517,0.0,,,6.41710714,8.07149966,6.25012025,,0.0,5.26273333,3.00791778
2016-01-03,1.5085125,6.83481429,1.50386979,0.0,,,2.356025,7.49934481,2.95112704,,0.0,2.98310667,4.13869483
2016-01-04,0.71688791,5.02149461,1.57043669,0.0,,,4.96026667,9.37522213,10.96020502,,0.0,5.32287131,3.11274598
2016-01-05,0.59284011,4.51936378,1.67346121,0.0,,,4.97263438,7.40498477,7.18361483,,0.0,2.35728072,3.73352889
2016-01-06,0.6067725,3.76050126,1.68537871,0.0,,,4.88209412,2.33637761,4.90693064,,0.0,3.59446905,3.67859331
2016-01-07,0.37731504,2.87906246,1.37653775,0.0,,,6.31864167,3.28469464,10.19849268,,0.0,4.95414402,3.67063188
2016-01-08,0.31970949,3.32693236,1.19383011,0.0,,,7.95381364,3.59931027,9.17312521,,0.0028,3.67761417,2.85752017
2016-01-09,0.55483341,2.45254579,0.49580571,0.0,,,21.0743375,8.31385736,10.22253248,,0.0,4.2993027,1.63300056
2016-01-10,0.38212275,2.60328052,0.47778532,0.0,,,9.21268333,11.49719858,8.84345907,,0.0,3.18729885,3.50689402
2016-01-11,0.31528781,3.66537423,0.46791289,0.0,,,3.90861905,6.32748382,6.45382197,,4.615e-05,5.23359619,1.63767929
2016-01-12,1.14624175,3.01236646,0.32928846,0.0,,,7.23686,3.93742303,9.10053958,,0.00087317,2.89966495,2.73467311
2016-01-13,4.28606159,4.06237152,0.98481707,0.0,,,5.12348125,4.08858272,8.78592933,,0.00051667,3.69951309,1.72198933
2016-01-14,7.28162679,4.94290543,1.05894427,0.0,,,19.2515625,3.40746562,8.99334339,,0.00044,3.21174913,1.9624485
2016-01-15,2.37436531,4.18936639,0.88604881,0.0,,,5.68424138,3.39167373,9.6052268,,0.00048333,3.8101625,3.2260395
2016-01-16,0.54327371,3.48999545,0.76849935,0.0,,,7.40220556,5.82452589,9.71201308,,0.0,2.00204944,5.06645619
2016-01-17,1.69795089,3.16041309,0.66564886,0.0,,,7.05545455,4.34552682,10.2040911,,0.0,2.181264,3.3790469
2016-01-18,4.83225745,2.90770184,0.36034169,0.0,,,1.95209722,3.91681541,7.97587302,,0.0,4.90119111,3.34078393
2016-01-19,2.98408737,2.64144832,0.58943947,0.0,,,2.62649556,2.27699416,6.91094643,,0.000475,4.46269357,2.35692443
2016-01-20,2.30342013,2.70880292,0.49547689,0.0,,,8.81315556,4.37339601,7.23530106,,0.0,4.8677991,2.49789857
2016-01-21,2.7585292,1.6084722,1.05514518,0.0,,,5.34049667,4.55753751,7.27875676,,0.00047143,6.06572097,2.79311695
2016-01-22,4.19088667,3.36784238,0.44349478,0.0,,,8.66409286,7.49138055,8.23202819,,0.00051667,3.88043907,2.64742651
2016-01-23,1.46248734,5.97797746,0.75304541,0.0,,,22.48338333,7.42486809,9.017727,,0.0,3.6427899,3.4622352
